date,strategy,ticker,weight,realized_future_return,predicted_return_score,hmm_regime
2024-01-02,EqualWeight_Top10,MCO,0.1,0.0267933742870754,0.5112447,0
2024-01-02,EqualWeight_Top10,NFLX,0.1,0.2040768652160343,0.5712759,0
2024-01-02,EqualWeight_Top10,NOW,0.1,0.1132767357838273,0.5303416,0
2024-01-02,EqualWeight_Top10,VRSK,0.1,0.0149171933997569,0.55235165,0
2024-01-02,HMM_MinVar_Top10,BKNG,0.0495854012617589,0.0077315540327347,0.52608484,0
2024-01-02,HMM_MinVar_Top10,BRK-B,0.25,0.0587099246288378,0.55536705,0
2024-01-02,HMM_MinVar_Top10,CDNS,0.0,0.0972232717839387,0.5144106,0
2024-01-02,HMM_MinVar_Top10,CMG,0.051763522308913,0.0730682545731544,0.5147539,0
2024-01-02,HMM_MinVar_Top10,GM,0.07904641311001848,0.0762828914961484,0.52478784,0
2024-01-02,HMM_MinVar_Top10,KMB,0.25,-0.0113600339303638,0.5186709,0
2024-01-02,HMM_MinVar_Top10,MCO,0.1026912231235912,0.0267933742870754,0.5112447,0
2024-01-02,HMM_MinVar_Top10,NFLX,0.01212388217169482,0.2040768652160343,0.5712759,0
2024-01-02,HMM_MinVar_Top10,NOW,0.0039426318200487765,0.1132767357838273,0.5303416,0
2024-01-02,HMM_MinVar_Top10,VRSK,0.20084692620397485,0.0149171933997569,0.55235165,0
2024-01-02,HMM_ScoreMV_Top10,BKNG,0.05663498961516282,0.0077315540327347,0.52608484,0
2024-01-02,HMM_ScoreMV_Top10,BRK-B,0.25,0.0587099246288378,0.55536705,0
2024-01-02,HMM_ScoreMV_Top10,CDNS,3.109614344771454e-17,0.0972232717839387,0.5144106,0
2024-01-02,HMM_ScoreMV_Top10,CMG,0.0,0.0730682545731544,0.5147539,0
2024-01-02,HMM_ScoreMV_Top10,GM,0.0647430895209908,0.0762828914961484,0.52478784,0
2024-01-02,HMM_ScoreMV_Top10,KMB,0.13898136150154025,-0.0113600339303638,0.5186709,0
2024-01-02,HMM_ScoreMV_Top10,MCO,0.0,0.0267933742870754,0.5112447,0
2024-01-02,HMM_ScoreMV_Top10,NFLX,0.23964055936230594,0.2040768652160343,0.5712759,0
2024-01-02,HMM_ScoreMV_Top10,NOW,2.0899565853307283e-16,0.1132767357838273,0.5303416,0
2024-01-02,HMM_ScoreMV_Top10,VRSK,0.24999999999999994,0.0149171933997569,0.55235165,0
2024-01-02,Static_MinVar_Top10,BKNG,0.058733166125495,0.0077315540327347,0.52608484,0
2024-01-02,Static_MinVar_Top10,BRK-B,0.24999999999999994,0.0587099246288378,0.55536705,0
2024-01-02,Static_MinVar_Top10,CDNS,0.029593436232875574,0.0972232717839387,0.5144106,0
2024-01-02,Static_MinVar_Top10,CMG,0.08781208139668323,0.0730682545731544,0.5147539,0
2024-01-02,Static_MinVar_Top10,GM,0.03148001890655088,0.0762828914961484,0.52478784,0
2024-01-02,Static_MinVar_Top10,KMB,0.24999999999999994,-0.0113600339303638,0.5186709,0
2024-01-02,Static_MinVar_Top10,MCO,0.06011145379540783,0.0267933742870754,0.5112447,0
2024-01-02,Static_MinVar_Top10,NFLX,0.0,0.2040768652160343,0.5712759,0
2024-01-02,Static_MinVar_Top10,NOW,6.0799987170105975e-18,0.1132767357838273,0.5303416,0
2024-01-02,Static_MinVar_Top10,VRSK,0.23226984354298744,0.0149171933997569,0.55235165,0
2024-01-02,Static_ScoreMV_Top10,BKNG,0.03203100613950101,0.0077315540327347,0.52608484,0
2024-01-02,Static_ScoreMV_Top10,BRK-B,0.24999999999999992,0.0587099246288378,0.55536705,0
2024-01-02,Static_ScoreMV_Top10,CDNS,1.288606325373154e-16,0.0972232717839387,0.5144106,0
2024-01-02,Static_ScoreMV_Top10,CMG,1.4888143173324483e-16,0.0730682545731544,0.5147539,0
2024-01-02,Static_ScoreMV_Top10,GM,0.0,0.0762828914961484,0.52478784,0
2024-01-02,Static_ScoreMV_Top10,KMB,0.21796899386049903,-0.0113600339303638,0.5186709,0
2024-01-02,Static_ScoreMV_Top10,MCO,5.533834341714157e-19,0.0267933742870754,0.5112447,0
2024-01-02,Static_ScoreMV_Top10,NFLX,0.25000000000000006,0.2040768652160343,0.5712759,0
2024-01-02,Static_ScoreMV_Top10,NOW,1.1852975523902045e-17,0.1132767357838273,0.5303416,0
2024-01-02,Static_ScoreMV_Top10,VRSK,0.24999999999999978,0.0149171933997569,0.55235165,0
2024-02-01,EqualWeight_Top10,APD,0.1,-0.0907691245022831,0.5156368,0
2024-02-01,EqualWeight_Top10,BKNG,0.1,-0.0165016591978768,0.5164085,0
2024-02-01,EqualWeight_Top10,C,0.1,0.0012606822219287,0.512713,0
2024-02-01,EqualWeight_Top10,FDX,0.1,0.0192187482232331,0.5239109,0
2024-02-01,EqualWeight_Top10,HAL,0.1,0.0059270531369914,0.51851517,0
2024-02-01,EqualWeight_Top10,HPQ,0.1,0.0162404232827775,0.52758783,0
2024-02-01,EqualWeight_Top10,KMB,0.1,-0.004293814708274,0.5204677,0
2024-02-01,EqualWeight_Top10,SLB,0.1,0.0128802572854469,0.51157004,0
